n_players,mean_lon,std_lon,mean_lat,std_lat,weighted_lon,weighted_lat,mean_height_px,max_height_px,std_height_px,size_gradient,largest_player_lon,largest_player_lat,nearest_player_lon,nearest_player_dist,nearest_player_height,players_left_frac,left_third_count,mid_third_count,right_third_count,top5_cluster_std,yaw_deg,ball_lon,ball_lat,clip,timestamp_s,split
12,-27.60849606352617,25.56525329681887,9.948124142239715,6.4898833522884285,-22.780104249299626,12.819796990605962,35.5297597249349,65.8134765625,16.278332488896265,-10.347448730468749,11.359049445918146,25.87666812162849,-28.55104789512561,1.4994471897983068,19.36273193359375,0.8333333333333334,4,6,2,32.3044076173412,-28.0,-27.051600705327303,4.307472016834119,VID_20241028_124047_10_010,1018.0,train
9,-40.796734753084465,17.4518820764806,5.280647229838393,3.428286758689793,-42.25494373407481,6.527528666929992,33.13341267903646,61.09344482421875,12.126427948967297,10.498846435546874,-56.516049378304515,13.377538550206381,-28.92698888198508,4.715053773200655,21.155914306640625,1.0,2,4,3,18.03181997644321,-28.0,-24.211935108784424,3.3649016253633603,VID_20241028_124047_10_010,1018.0,train
13,-6.622240146672421,22.83174843124908,6.60230571768068,2.7245614458953336,-6.7594352178727855,7.61154382963239,32.61988243689904,60.53253173828125,14.267424213519355,-4.098101806640624,-37.92014617312593,7.9618171302341425,14.725881972453365,2.3570962266843374,27.116485595703125,0.46153846153846156,3,3,7,17.245408301407934,-14.0,17.082978199137703,4.315892491598429,VID_20241028_124047_10_010,1035.0,train
11,-28.15487049819961,22.461995281000195,5.927912034091963,2.7708084046006247,-25.87712105093346,6.73817135560404,35.78406316583807,62.50634765625,13.168818984361797,-0.20065198625837155,7.051141960822257,6.806394541405065,-45.42343190464122,0.17366825539939157,28.9354248046875,0.8181818181818182,7,2,2,17.320591239918787,-14.0,-45.24976364924183,3.675274144434072,VID_20241028_124047_10_010,1035.0,train
13,-2.970963274858851,21.26314643681133,7.186449399624034,2.7338185143844833,-3.773790776628743,8.145353011728783,33.0543447641226,58.767578125,13.57839834360167,-4.715077209472657,-36.38080403341989,8.632072189838961,16.18005782148958,0.7794419782991184,27.273193359375,0.46153846153846156,2,4,7,17.293531797723148,-14.0,16.9594997997887,4.135715690743758,VID_20241028_124047_10_010,1035.0,train
15,-4.7651185654374935,25.010998265110103,9.110448810979051,3.8764458211604538,-4.9058540610624615,10.636105122229727,37.31041463216146,86.346435546875,14.849104336575571,8.624649047851562,-11.491784811465983,21.51007899694818,24.405871372597872,2.826665473510772,43.59368896484375,0.4666666666666667,5,3,7,23.42649278714592,-18.0,21.5792058990871,9.008774995690029,VID_20241028_124047_10_010,1124.0,train
14,-0.9109029166012113,24.12252805846559,9.47006037726351,3.9895091226439,-0.5003237907681306,11.154115522049423,37.00513131277902,86.671875,15.833093196409402,8.500006781684029,-9.43311242104449,21.743419039169755,19.391320981021785,2.3184218397681278,25.593505859375,0.35714285714285715,4,2,8,23.046732625723095,-18.0,21.709742820789913,8.694853354432603,VID_20241028_124047_10_010,1124.0,train
15,-8.433406335659615,24.564176220038064,9.450860528041439,3.828112964441292,-7.110048640562775,11.106773827201822,35.52027384440104,86.22711181640625,15.604061830025852,6.466775621686665,-10.143377383411213,21.795613337870726,25.150500762450342,3.067539218526413,45.873565673828125,0.6,6,3,6,23.133147785398265,-18.0,22.08296154392393,9.12678852269368,VID_20241028_124047_10_010,1124.0,train
17,-13.850545607915215,28.08174443072752,8.867131613595078,4.95109188986255,-14.146410435906837,10.884288476155529,37.829893224379596,75.77587890625,15.791785953999943,2.9125026157924125,-32.09689153891159,23.670481218492174,12.560822036880268,0.6025988899846766,18.086578369140625,0.5882352941176471,3,5,9,21.279401778993886,-28.0,13.163420926864944,4.291843233539497,VID_20241028_124047_10_010,1146.0,train
16,-8.836482409125171,27.509992838266882,10.014683321477317,5.185980225847822,-10.56043072273376,12.47177298829181,38.60708045959473,85.3070068359375,18.555797863955934,6.852735246930806,-30.86189942376009,24.959691392967674,12.444528684088752,0.7568922371025337,17.7353515625,0.5,2,4,10,21.051473817550004,-28.0,11.687636446986218,4.222026400334378,VID_20241028_124047_10_010,1146.0,train
