clip,timestamp_s,yaw_deg,split,n_players,mean_lon,weighted_lon,height_weighted_cluster_lon,height_weighted_cluster_size,ball_lon,cluster_lon_eps8,cluster_size_eps8,cluster_height_eps8,n_clusters_eps8,cluster_lon_eps12,cluster_size_eps12,cluster_height_eps12,n_clusters_eps12,cluster_lon_eps15,cluster_size_eps15,cluster_height_eps15,n_clusters_eps15,cluster_lon_eps20,cluster_size_eps20,cluster_height_eps20,n_clusters_eps20,cluster_lon_eps25,cluster_size_eps25,cluster_height_eps25,n_clusters_eps25
VID_20241028_124047_10_010,1018.0,-28.0,train,12,-27.60849606352617,-22.780104249299626,-37.585357409732666,18,-27.051600705327303,-42.26170452102504,6,32.56977335611979,3,-42.26170452102504,6,32.56977335611979,3,-36.16094487078848,10,29.957635498046876,2,-36.16094487078848,10,29.957635498046876,2,-27.60849606352617,12,35.5297597249349,1
VID_20241028_124047_10_010,1018.0,-28.0,train,9,-40.796734753084465,-42.25494373407481,-42.54935903355633,21,-24.211935108784424,-47.936038119442955,5,37.61802978515625,2,-44.7678632465333,6,34.87434387207031,2,-40.796734753084465,9,33.13341267903646,1,-40.796734753084465,9,33.13341267903646,1,-40.796734753084465,9,33.13341267903646,1
VID_20241028_124047_10_010,1035.0,-14.0,train,13,-6.622240146672421,-6.7594352178727855,-8.545125938083512,28,17.082978199137703,4.997833258711014,6,37.73307800292969,4,9.5301972543569,8,34.196075439453125,3,-6.622240146672421,13,32.61988243689904,1,-6.622240146672421,13,32.61988243689904,1,-6.622240146672421,13,32.61988243689904,1
VID_20241028_124047_10_010,1035.0,-14.0,train,11,-28.15487049819961,-25.87712105093346,-37.24117617962599,20,-45.24976364924183,-40.39885174705513,8,34.175785064697266,1,-40.39885174705513,8,34.175785064697266,1,-37.32487034104177,9,33.83515082465278,2,-28.15487049819961,11,35.78406316583807,1,-28.15487049819961,11,35.78406316583807,1
VID_20241028_124047_10_010,1035.0,-14.0,train,13,-2.970963274858851,-3.773790776628743,5.143805582951434,21,16.9594997997887,9.0963010046992,9,33.03596327039931,2,4.19071577180848,11,31.325400612571023,2,4.19071577180848,11,31.325400612571023,2,-2.970963274858851,13,33.0543447641226,1,-2.970963274858851,13,33.0543447641226,1
VID_20241028_124047_10_010,1124.0,-18.0,train,15,-4.7651185654374935,-4.9058540610624615,9.269499786100383,19,21.5792058990871,17.944259061190536,7,34.65694318498884,3,11.670025233121073,10,39.10914306640625,2,11.670025233121073,10,39.10914306640625,2,11.670025233121073,10,39.10914306640625,2,-4.7651185654374935,15,37.31041463216146,1
VID_20241028_124047_10_010,1124.0,-18.0,train,14,-0.9109029166012113,-0.5003237907681306,10.813901214411775,19,21.709742820789913,19.27229374513164,7,35.11704799107143,3,13.162777682609487,10,39.23966064453125,2,13.162777682609487,10,39.23966064453125,2,13.162777682609487,10,39.23966064453125,2,-0.9109029166012113,14,37.00513131277902,1
VID_20241028_124047_10_010,1124.0,-18.0,train,15,-8.433406335659615,-7.110048640562775,8.510660579888151,17,22.08296154392393,10.042787801392045,9,38.47185262044271,2,10.042787801392045,9,38.47185262044271,2,10.042787801392045,9,38.47185262044271,2,10.042787801392045,9,38.47185262044271,2,-8.433406335659615,15,35.52027384440104,1
VID_20241028_124047_10_010,1146.0,-28.0,train,17,-13.850545607915215,-14.146410435906837,-11.420068382895598,32,13.163420926864944,13.541165834907902,7,37.23059517996652,4,13.541165834907902,7,37.23059517996652,3,-9.976534359722958,16,37.601844787597656,1,-9.976534359722958,16,37.601844787597656,1,-13.850545607915215,17,37.829893224379596,1
VID_20241028_124047_10_010,1146.0,-28.0,train,16,-8.836482409125171,-10.56043072273376,-6.609834231291815,29,11.687636446986218,14.258309049825808,8,35.530052185058594,2,9.947859405119784,10,36.100244140625,2,-4.42129508091331,15,38.35693562825521,1,-4.42129508091331,15,38.35693562825521,1,-4.42129508091331,15,38.35693562825521,1
VID_20241028_124047_10_010,1146.0,-28.0,train,15,-47.373099738610634,-47.968880708733394,-45.859690627099795,30,-67.73752947607565,-70.46416054685358,7,40.526153564453125,3,-65.6726234505045,9,39.959130181206596,2,-47.373099738610634,15,40.41373901367187,1,-47.373099738610634,15,40.41373901367187,1,-47.373099738610634,15,40.41373901367187,1
VID_20241028_124047_10_010,1352.0,-5.0,train,20,-6.684110179169627,-8.39377194206836,-22.465214551480646,33,-30.487204786420797,-30.312863555150003,11,47.9878623268821,3,-20.556385773165406,15,46.79298706054688,2,-20.556385773165406,15,46.79298706054688,2,-6.684110179169627,20,46.52830047607422,1,-6.684110179169627,20,46.52830047607422,1
VID_20241028_124047_10_010,1352.0,-5.0,train,19,-6.805567314090078,-3.339569189858783,-2.7873827575608496,41,17.829519991160197,9.564965457210338,9,43.230445014105904,4,3.9740653172990053,15,47.0016357421875,2,-6.805567314090078,19,45.3985595703125,1,-6.805567314090078,19,45.3985595703125,1,-6.805567314090078,19,45.3985595703125,1
VID_20241028_124047_10_010,1352.0,-5.0,train,18,-2.2363128139677326,-0.42978169373470065,-0.14804453943983853,41,20.91509533283081,16.007636711888917,11,48.23424183238637,3,6.076059091936314,15,47.22391153971354,2,-2.2363128139677326,18,47.13038126627604,1,-2.2363128139677326,18,47.13038126627604,1,-2.2363128139677326,18,47.13038126627604,1
VID_20241028_124047_10_010,1368.0,-12.0,train,6,-32.580693588816644,-33.35494158393921,-38.75867234216255,12,-45.30120100903299,-30.276773859590804,2,45.65069580078125,2,-30.276773859590804,2,45.65069580078125,2,-40.77838995069203,5,35.851922607421876,1,-40.77838995069203,5,35.851922607421876,1,-40.77838995069203,5,35.851922607421876,1
VID_20241028_124047_10_010,1368.0,-12.0,train,8,-40.495656371343834,-37.974364204022876,-39.38878232882665,17,-40.69641876352618,-25.45622090774405,3,37.474822998046875,3,-49.519317649503705,5,26.123455810546876,2,-40.495656371343834,8,30.380218505859375,1,-40.495656371343834,8,30.380218505859375,1,-40.495656371343834,8,30.380218505859375,1
VID_20241028_124047_10_010,1368.0,-12.0,train,7,10.493037486451724,9.50372695173731,-1.914813481118884,4,17.544155159693396,22.712355226638053,5,25.460986328125,1,22.712355226638053,5,25.460986328125,1,22.712355226638053,5,25.460986328125,1,18.607827108678563,6,31.549153645833332,1,18.607827108678563,6,31.549153645833332,1
VID_20241028_124047_10_010,1390.0,-5.0,train,13,-30.22191323984356,-31.876990190349897,-41.90637815469932,20,-55.094487218082364,-39.821248057969655,10,35.29515380859375,2,-39.821248057969655,10,35.29515380859375,2,-39.821248057969655,10,35.29515380859375,2,-34.50542486195139,12,37.33991495768229,1,-34.50542486195139,12,37.33991495768229,1
VID_20241028_124047_10_010,1390.0,-5.0,train,15,16.273706756847606,18.509258275604928,21.02025079669927,29,44.99999999999999,28.831105723605482,10,35.04575805664062,2,28.831105723605482,10,35.04575805664062,2,19.83187837888782,14,34.77671377999442,1,19.83187837888782,14,34.77671377999442,1,19.83187837888782,14,34.77671377999442,1
VID_20241028_124047_10_010,1390.0,-5.0,train,13,16.651929844348782,20.130842709914727,32.277270850589,17,44.4651429102853,35.350560820336234,6,45.476165771484375,3,31.70768713578873,8,40.33094787597656,2,31.70768713578873,8,40.33094787597656,2,20.74238861416857,12,37.798970540364586,1,20.74238861416857,12,37.798970540364586,1
VID_20241028_124047_10_010,1493.0,-10.0,train,18,-17.628244159609057,-16.456297947649773,-32.470315130739785,25,-27.274293841291957,-20.96247919510294,7,36.32060023716518,3,-32.521542625972025,12,39.11656951904297,2,-32.521542625972025,12,39.11656951904297,2,-17.628244159609057,18,40.065970526801216,1,-17.628244159609057,18,40.065970526801216,1
VID_20241028_124047_10_010,1493.0,-10.0,train,18,-10.71465319188625,-10.377596227247434,-11.231240148923282,37,9.591987202636965,-1.4603401886521397,6,37.23035685221354,4,8.775216868652517,10,39.419741821289065,2,-10.71465319188625,18,38.2615966796875,1,-10.71465319188625,18,38.2615966796875,1,-10.71465319188625,18,38.2615966796875,1
VID_20241028_124047_10_010,1588.0,-4.0,train,19,1.7101074402754146,2.3616889401041536,1.1720427127193156,45,4.159618794401171,16.804520457967104,12,36.85225931803385,3,1.7101074402754146,19,34.818409166837995,1,1.7101074402754146,19,34.818409166837995,1,1.7101074402754146,19,34.818409166837995,1,1.7101074402754146,19,34.818409166837995,1
VID_20241028_124047_10_010,1588.0,-4.0,train,18,5.821308138655999,5.733188104213339,4.971192044911748,41,9.406349608367432,17.67013524404445,13,34.753579946664665,3,17.67013524404445,13,34.753579946664665,2,5.821308138655999,18,34.387022230360245,1,5.821308138655999,18,34.387022230360245,1,5.821308138655999,18,34.387022230360245,1
VID_20241028_124047_10_010,1588.0,-4.0,train,17,-16.2487458035704,-17.263062452160245,-17.13280244522062,40,-14.83879609450941,-29.8022268306712,11,36.72001231800426,3,-16.2487458035704,17,34.7711379107307,1,-16.2487458035704,17,34.7711379107307,1,-16.2487458035704,17,34.7711379107307,1,-16.2487458035704,17,34.7711379107307,1
VID_20241028_124047_10_010,1608.0,-8.0,train,17,-1.6275772136562905,-1.3664583113224806,15.531865094207918,28,37.631809348397546,27.63016521889156,7,51.033905029296875,3,14.809433296550546,12,48.95648956298828,2,14.809433296550546,12,48.95648956298828,2,-1.6275772136562905,17,50.26779533835018,1,-1.6275772136562905,17,50.26779533835018,1
VID_20241028_124047_10_010,1608.0,-8.0,train,20,-19.089307460969398,-20.562610338922465,-19.83810081247091,44,-57.18163304076859,-48.0464800067126,7,50.72295706612723,4,-19.089307460969398,20,44.44712677001953,1,-19.089307460969398,20,44.44712677001953,1,-19.089307460969398,20,44.44712677001953,1,-19.089307460969398,20,44.44712677001953,1
VID_20241028_124047_10_010,1608.0,-8.0,train,19,-19.785529118476955,-19.725246473081672,-33.226478274227816,32,-55.52542956079312,-46.022205295910105,8,46.211891174316406,4,-33.63102138966583,14,45.213875906808035,2,-33.63102138966583,14,45.213875906808035,2,-19.785529118476955,19,45.651399311266445,1,-19.785529118476955,19,45.651399311266445,1
VID_20241028_124047_10_010,1631.0,-23.0,train,15,-26.467554820388873,-24.011067819989442,-49.485381652678434,15,-12.864689495255584,-56.10342975771321,6,48.08722432454427,3,-49.60002705936654,8,48.728946685791016,2,-49.60002705936654,8,48.728946685791016,2,-30.23363050424168,14,46.03222002301897,1,-26.467554820388873,15,50.20706583658854,1
VID_20241028_124047_10_010,1631.0,-23.0,train,15,-26.454735865845084,-23.685590882244732,-49.47942983144882,15,-12.864689495255584,-56.10104951798163,6,48.423197428385414,3,-49.5945300617462,8,49.09144592285156,2,-49.5945300617462,8,49.09144592285156,2,-30.219133331113746,14,47.168544224330354,1,-26.454735865845084,15,51.326741536458336,1
VID_20241028_124047_10_010,1631.0,-23.0,train,17,-13.844407997423126,-14.778822674428852,2.1247675635115133,23,-35.55604676108386,4.451211838743072,7,43.448085239955354,4,3.24792549944798,11,41.3828818581321,2,3.24792549944798,11,41.3828818581321,2,-13.844407997423126,17,42.27860933191636,1,-13.844407997423126,17,42.27860933191636,1
VID_20241028_124047_10_010,1664.0,-8.0,train,22,-21.58269779838215,-19.99138762758579,-20.59862623762777,48,-13.516316108921128,-8.779438305475614,9,51.63798353407118,3,-21.58269779838215,22,49.488915183327414,1,-21.58269779838215,22,49.488915183327414,1,-21.58269779838215,22,49.488915183327414,1,-21.58269779838215,22,49.488915183327414,1
VID_20241028_124047_10_010,1664.0,-8.0,train,21,-18.47458560081007,-16.129022612655856,-18.445160541608846,44,-12.577960208269793,-6.6161586331335736,9,49.920369466145836,5,-25.27607911946702,18,47.17635599772135,2,-18.47458560081007,21,49.22266642252604,1,-18.47458560081007,21,49.22266642252604,1,-18.47458560081007,21,49.22266642252604,1
VID_20241028_124047_10_010,1664.0,-8.0,train,21,-7.707686093569563,-9.528034755045867,-7.892230018143717,47,-3.9514534250243214,-15.383296477590187,12,52.2730967203776,4,-7.707686093569563,21,51.6673583984375,1,-7.707686093569563,21,51.6673583984375,1,-7.707686093569563,21,51.6673583984375,1,-7.707686093569563,21,51.6673583984375,1
VID_20241028_124047_10_010,242.0,-15.0,train,15,-12.83488415321908,-13.820714580343232,-6.73275589906904,29,-2.0529525150172923,19.430266181844114,4,39.30036163330078,4,19.430266181844114,4,39.30036163330078,3,-9.158294033319349,14,32.69867597307478,1,-12.83488415321908,15,34.65543009440104,1,-12.83488415321908,15,34.65543009440104,1
VID_20241028_124047_10_010,242.0,-15.0,train,14,-18.543447166505263,-15.57666316390733,-25.048967145287193,26,-27.2429400905707,-25.791925306973667,5,31.04786376953125,3,-25.791925306973667,5,31.04786376953125,3,-22.60119200509668,13,32.65370530348558,1,-18.543447166505263,14,35.309055873325896,1,-18.543447166505263,14,35.309055873325896,1
VID_20241028_124047_10_010,242.0,-15.0,train,13,-16.982145959163354,-13.615711410583478,-14.303141782157924,31,-4.1599053031947495,-18.223694410967425,7,27.91098894391741,3,-26.54106753919951,10,29.249871826171876,2,-16.982145959163354,13,32.687417837289665,1,-16.982145959163354,13,32.687417837289665,1,-16.982145959163354,13,32.687417837289665,1
VID_20241028_124047_10_010,253.0,-12.0,train,3,-20.268253070704095,-24.842054394010372,-56.81879971235435,4,-20.757504483940448,-1.9929797498789683,2,34.01055908203125,1,-1.9929797498789683,2,34.01055908203125,1,-1.9929797498789683,2,34.01055908203125,1,-1.9929797498789683,2,34.01055908203125,1,-1.9929797498789683,2,34.01055908203125,1
VID_20241028_124047_10_010,253.0,-12.0,train,13,-25.517916206003957,-25.615297895982366,-25.257623536110554,31,-21.705685476468066,-28.575772144160585,7,33.56648472377232,3,-19.83343200579581,11,35.47259798916903,2,-25.517916206003957,13,36.791088397686295,1,-25.517916206003957,13,36.791088397686295,1,-25.517916206003957,13,36.791088397686295,1
VID_20241028_124047_10_010,253.0,-12.0,train,12,-25.131267623838994,-26.592455496682184,-18.83479918529809,22,-23.076945081329185,-18.486478674043266,10,34.63289794921875,2,-18.486478674043266,10,34.63289794921875,2,-18.486478674043266,10,34.63289794921875,2,-25.131267623838994,12,36.282857259114586,1,-25.131267623838994,12,36.282857259114586,1
VID_20241028_124047_10_010,307.0,-10.0,train,12,15.638169354103232,15.203034273460315,19.077270073811555,25,3.1911219851919235,26.708562153620413,8,25.68854522705078,2,19.783187604886244,11,27.01992520419034,1,19.783187604886244,11,27.01992520419034,1,19.783187604886244,11,27.01992520419034,1,15.638169354103232,12,26.69158426920573,1
VID_20241028_124047_10_010,307.0,-10.0,train,14,13.993369365892272,14.067372925291673,17.67306565624604,28,3.705065276363136,24.842893212807056,9,26.812347412109375,2,17.50801543285026,13,26.89922860952524,1,17.50801543285026,13,26.89922860952524,1,17.50801543285026,13,26.89922860952524,1,13.993369365892272,14,26.62902614048549,1
VID_20241028_124047_10_010,307.0,-10.0,train,10,16.286342713210367,15.500843707446714,15.852990206527846,23,4.533681488261344,18.921311122613268,9,27.966752794053818,1,16.286342713210367,10,28.94984130859375,1,16.286342713210367,10,28.94984130859375,1,16.286342713210367,10,28.94984130859375,1,16.286342713210367,10,28.94984130859375,1
VID_20241028_124047_10_010,375.0,-6.0,train,17,-13.842551583142571,-16.668134564219486,-15.501225403661927,34,24.42147773169571,-45.29485600204636,5,35.253326416015625,5,-13.842551583142571,17,33.82141472311581,1,-13.842551583142571,17,33.82141472311581,1,-13.842551583142571,17,33.82141472311581,1,-13.842551583142571,17,33.82141472311581,1
VID_20241028_124047_10_010,375.0,-6.0,train,15,-6.9589265813763825,-3.3843787051143757,-4.711653900307215,33,-37.49918581518871,-0.3049946663547498,5,40.50150756835937,4,-6.9589265813763825,15,36.232794189453124,1,-6.9589265813763825,15,36.232794189453124,1,-6.9589265813763825,15,36.232794189453124,1,-6.9589265813763825,15,36.232794189453124,1
VID_20241028_124047_10_010,375.0,-6.0,train,16,-3.421860098832598,0.40252735339259926,-1.0668558954245784,36,-36.877049414831916,0.6331689437851101,6,49.57209269205729,4,-3.421860098832598,16,39.29644012451172,1,-3.421860098832598,16,39.29644012451172,1,-3.421860098832598,16,39.29644012451172,1,-3.421860098832598,16,39.29644012451172,1
VID_20241028_124047_10_010,390.0,-25.0,train,13,-49.90899087575043,-49.20439826948208,-48.275462596202416,33,-29.756014892390937,-65.25735728429345,6,31.38884989420573,3,-49.90899087575043,13,31.391017033503605,1,-49.90899087575043,13,31.391017033503605,1,-49.90899087575043,13,31.391017033503605,1,-49.90899087575043,13,31.391017033503605,1
VID_20241028_124047_10_010,390.0,-25.0,train,9,-48.62958771106518,-47.96820843159524,-47.596275425293214,24,-29.892386732010543,-66.46712083314782,4,33.525840759277344,3,-34.359561213399076,5,35.162176513671874,2,-48.62958771106518,9,34.434916178385414,1,-48.62958771106518,9,34.434916178385414,1,-48.62958771106518,9,34.434916178385414,1
VID_20241028_124047_10_010,390.0,-25.0,train,12,-49.50479971206016,-50.018214059147134,-49.758339426430915,29,-29.321565191037024,-55.966956781131984,9,31.436113145616318,2,-49.50479971206016,12,33.49211629231771,1,-49.50479971206016,12,33.49211629231771,1,-49.50479971206016,12,33.49211629231771,1,-49.50479971206016,12,33.49211629231771,1
VID_20241028_124047_10_010,398.0,-30.0,train,11,-24.64964825605499,-21.898287845916546,-38.19052051742952,18,-55.48078810282695,-38.34243354689857,7,26.337703159877233,2,-38.34243354689857,7,26.337703159877233,2,-38.34243354689857,7,26.337703159877233,2,-38.34243354689857,7,26.337703159877233,2,-24.64964825605499,11,29.513261274857953,1
VID_20241028_124047_10_010,398.0,-30.0,train,10,-23.862388900771222,-20.707704913305943,-35.84208965632517,17,-54.81247859291213,-35.75179457246343,7,24.897635323660715,2,-35.75179457246343,7,24.897635323660715,2,-35.75179457246343,7,24.897635323660715,2,-35.75179457246343,7,24.897635323660715,2,-23.862388900771222,10,28.2619873046875,1
VID_20241028_124047_10_010,398.0,-30.0,train,12,-35.97268272288984,-39.38950204958485,-23.587888540010475,20,-5.588921307550308,-23.04314719015659,8,24.8551025390625,2,-23.04314719015659,8,24.8551025390625,2,-23.04314719015659,8,24.8551025390625,2,-35.97268272288984,12,28.186192830403645,1,-35.97268272288984,12,28.186192830403645,1
VID_20241028_124047_10_010,407.0,-3.0,train,15,-11.891469428757253,-9.821882090485179,-12.012648545961502,31,-14.809260907111554,-28.37097078063142,8,26.349578857421875,3,-19.624670250769178,12,32.42258961995443,2,-14.824980993602002,14,32.05389404296875,1,-11.891469428757253,15,31.272705078125,1,-11.891469428757253,15,31.272705078125,1
VID_20241028_124047_10_010,407.0,-3.0,train,14,-3.334820952522395,-4.522880641499182,-4.006587365902336,31,7.135310504744416,-13.523639195349542,8,37.90899658203125,3,-6.625143898363285,11,36.51093084161932,2,-3.334820952522395,14,33.930267333984375,1,-3.334820952522395,14,33.930267333984375,1,-3.334820952522395,14,33.930267333984375,1
VID_20241028_124047_10_010,407.0,-3.0,train,14,-0.8079210490875993,-3.315487249335809,-2.0812918275186925,34,7.301683937944336,-6.535929160967666,4,44.02058410644531,3,9.299343620198439,10,35.02797241210938,2,-0.8079210490875993,14,35.949820382254465,1,-0.8079210490875993,14,35.949820382254465,1,-0.8079210490875993,14,35.949820382254465,1
