clip,ball_lon,mean_lon,n_players,n_clusters_eps8,c8_lon,c8_size,c8_height,c12_lon,c12_size,c15_lon,c15_size,c20_lon,c20_size,c25_lon,c25_size,c8_c25_diff,c8_mean_diff,best_eps,best_dist
VID_20241028_124047_10_010,-27.051600705327303,-27.60849606352617,12,3,-42.26170452102504,6,32.56977335611979,-42.26170452102504,6,-36.16094487078848,10,-36.16094487078848,10,-27.60849606352617,12,14.653208457498867,14.653208457498867,25,0.5568953581988687
VID_20241028_124047_10_010,-24.211935108784424,-40.796734753084465,9,2,-47.936038119442955,5,37.61802978515625,-44.7678632465333,6,-40.796734753084465,9,-40.796734753084465,9,-40.796734753084465,9,7.13930336635849,7.13930336635849,15,16.58479964430004
VID_20241028_124047_10_010,17.082978199137703,-6.622240146672421,13,4,4.997833258711014,6,37.73307800292969,9.5301972543569,8,-6.622240146672421,13,-6.622240146672421,13,-6.622240146672421,13,11.620073405383435,11.620073405383435,12,7.552780944780803
VID_20241028_124047_10_010,16.9594997997887,-2.970963274858851,13,2,9.0963010046992,9,33.03596327039931,4.19071577180848,11,4.19071577180848,11,-2.970963274858851,13,-2.970963274858851,13,12.067264279558051,12.067264279558051,8,7.863198795089499
VID_20241028_124047_10_010,21.5792058990871,-4.7651185654374935,15,3,17.944259061190536,7,34.65694318498884,11.670025233121072,10,11.670025233121072,10,11.670025233121072,10,-4.7651185654374935,15,22.70937762662803,22.70937762662803,8,3.634946837896564
VID_20241028_124047_10_010,21.709742820789913,-0.9109029166012113,14,3,19.27229374513164,7,35.11704799107143,13.162777682609487,10,13.162777682609487,10,13.162777682609487,10,-0.9109029166012113,14,20.183196661732854,20.183196661732854,8,2.4374490756582716
VID_20241028_124047_10_010,22.08296154392393,-8.433406335659615,15,2,10.042787801392045,9,38.47185262044271,10.042787801392045,9,10.042787801392045,9,10.042787801392045,9,-8.433406335659615,15,18.47619413705166,18.47619413705166,8,12.040173742531884
VID_20241028_124047_10_010,13.163420926864944,-13.850545607915215,17,4,13.541165834907902,7,37.23059517996652,13.541165834907902,7,-9.976534359722958,16,-9.976534359722958,16,-13.850545607915215,17,27.391711442823116,27.391711442823116,8,0.377744908042958
VID_20241028_124047_10_010,11.687636446986218,-8.836482409125171,16,2,14.258309049825808,8,35.530052185058594,9.947859405119784,10,-4.42129508091331,15,-4.42129508091331,15,-4.42129508091331,15,18.67960413073912,23.09479145895098,12,1.739777041866434
VID_20241028_124047_10_010,-67.73752947607565,-47.373099738610634,15,3,-70.46416054685358,7,40.526153564453125,-65.6726234505045,9,-47.373099738610634,15,-47.373099738610634,15,-47.373099738610634,15,23.091060808242943,23.091060808242943,12,2.0649060255711476
VID_20241028_124047_10_010,-30.487204786420797,-6.684110179169627,20,3,-30.312863555150003,11,47.9878623268821,-20.55638577316541,15,-20.55638577316541,15,-6.684110179169627,20,-6.684110179169627,20,23.628753375980374,23.628753375980374,8,0.1743412312707946
VID_20241028_124047_10_010,17.829519991160197,-6.805567314090078,19,4,9.564965457210338,9,43.230445014105904,3.9740653172990057,15,-6.805567314090078,19,-6.805567314090078,19,-6.805567314090078,19,16.370532771300418,16.370532771300418,8,8.264554533949859
VID_20241028_124047_10_010,20.91509533283081,-2.2363128139677326,18,3,16.007636711888917,11,48.23424183238637,6.076059091936314,15,-2.2363128139677326,18,-2.2363128139677326,18,-2.2363128139677326,18,18.24394952585665,18.24394952585665,8,4.907458620941892
VID_20241028_124047_10_010,-45.30120100903299,-32.580693588816644,6,2,-30.276773859590804,2,45.65069580078125,-30.276773859590804,2,-40.77838995069203,5,-40.77838995069203,5,-40.77838995069203,5,10.501616091101226,2.3039197292258393,15,4.522811058340956
VID_20241028_124047_10_010,-40.69641876352618,-40.495656371343834,8,3,-25.45622090774405,3,37.474822998046875,-49.519317649503705,5,-40.495656371343834,8,-40.495656371343834,8,-40.495656371343834,8,15.039435463599784,15.039435463599784,15,0.20076239218234804
VID_20241028_124047_10_010,-55.09448721808237,-30.22191323984356,13,2,-39.821248057969655,10,35.29515380859375,-39.821248057969655,10,-39.821248057969655,10,-34.50542486195139,12,-34.50542486195139,12,5.315823196018265,9.599334818126096,8,15.273239160112716
VID_20241028_124047_10_010,44.99999999999999,16.273706756847606,15,2,28.83110572360548,10,35.04575805664062,28.83110572360548,10,19.83187837888782,14,19.83187837888782,14,19.83187837888782,14,8.99922734471766,12.557398966757873,8,16.168894276394514
VID_20241028_124047_10_010,44.4651429102853,16.651929844348782,13,3,35.350560820336234,6,45.476165771484375,31.70768713578873,8,31.70768713578873,8,20.74238861416857,12,20.74238861416857,12,14.608172206167666,18.698630975987452,8,9.114582089949067
VID_20241028_124047_10_010,-27.274293841291957,-17.628244159609057,18,3,-20.96247919510294,7,36.32060023716518,-32.521542625972025,12,-32.521542625972025,12,-17.628244159609057,18,-17.628244159609057,18,3.334235035493883,3.334235035493883,12,5.2472487846800675
VID_20241028_124047_10_010,9.591987202636965,-10.71465319188625,18,4,-1.4603401886521397,6,37.23035685221354,8.775216868652517,10,-10.71465319188625,18,-10.71465319188625,18,-10.71465319188625,18,9.25431300323411,9.25431300323411,12,0.8167703339844472
VID_20241028_124047_10_010,4.159618794401171,1.7101074402754146,19,3,16.804520457967104,12,36.85225931803385,1.7101074402754146,19,1.7101074402754146,19,1.7101074402754146,19,1.7101074402754146,19,15.09441301769169,15.09441301769169,12,2.449511354125756
VID_20241028_124047_10_010,9.406349608367432,5.821308138655999,18,3,17.67013524404445,13,34.753579946664665,17.67013524404445,13,5.821308138655999,18,5.821308138655999,18,5.821308138655999,18,11.84882710538845,11.84882710538845,15,3.585041469711433
VID_20241028_124047_10_010,-14.83879609450941,-16.2487458035704,17,3,-29.8022268306712,11,36.72001231800426,-16.2487458035704,17,-16.2487458035704,17,-16.2487458035704,17,-16.2487458035704,17,13.553481027100798,13.553481027100798,12,1.4099497090609905
VID_20241028_124047_10_010,37.631809348397546,-1.6275772136562905,17,3,27.63016521889156,7,51.033905029296875,14.809433296550546,12,14.809433296550546,12,-1.6275772136562905,17,-1.6275772136562905,17,29.25774243254785,29.25774243254785,8,10.001644129505987
VID_20241028_124047_10_010,-57.18163304076859,-19.0893074609694,20,4,-48.0464800067126,7,50.72295706612723,-19.0893074609694,20,-19.0893074609694,20,-19.0893074609694,20,-19.0893074609694,20,28.957172545743198,28.957172545743198,8,9.135153034055989
VID_20241028_124047_10_010,-55.52542956079312,-19.785529118476955,19,4,-46.022205295910105,8,46.211891174316406,-33.63102138966583,14,-33.63102138966583,14,-19.785529118476955,19,-19.785529118476955,19,26.23667617743315,26.23667617743315,8,9.503224264883016
VID_20241028_124047_10_010,-12.864689495255584,-26.467554820388873,15,3,-56.10342975771321,6,48.08722432454427,-49.60002705936654,8,-49.60002705936654,8,-30.23363050424168,14,-26.467554820388873,15,29.635874937324335,29.635874937324335,25,13.602865325133289
VID_20241028_124047_10_010,-12.864689495255584,-26.454735865845084,15,3,-56.10104951798163,6,48.423197428385414,-49.5945300617462,8,-49.5945300617462,8,-30.219133331113746,14,-26.454735865845084,15,29.646313652136545,29.646313652136545,25,13.5900463705895
VID_20241028_124047_10_010,-35.55604676108386,-13.844407997423126,17,4,4.451211838743072,7,43.448085239955354,3.24792549944798,11,3.24792549944798,11,-13.844407997423126,17,-13.844407997423126,17,18.295619836166196,18.295619836166196,20,21.711638763660737
VID_20241028_124047_10_010,-13.516316108921128,-21.58269779838215,22,3,-8.779438305475614,9,51.63798353407118,-21.58269779838215,22,-21.58269779838215,22,-21.58269779838215,22,-21.58269779838215,22,12.803259492906536,12.803259492906536,8,4.736877803445514
VID_20241028_124047_10_010,-12.577960208269792,-18.47458560081007,21,5,-6.6161586331335736,9,49.92036946614584,-25.27607911946702,18,-18.47458560081007,21,-18.47458560081007,21,-18.47458560081007,21,11.858426967676497,11.858426967676497,15,5.896625392540278
VID_20241028_124047_10_010,-3.9514534250243214,-7.707686093569563,21,4,-15.383296477590187,12,52.2730967203776,-7.707686093569563,21,-7.707686093569563,21,-7.707686093569563,21,-7.707686093569563,21,7.675610384020625,7.675610384020625,12,3.756232668545241
VID_20241028_124047_10_010,-2.0529525150172923,-12.83488415321908,15,4,19.43026618184411,4,39.30036163330078,19.43026618184411,4,-9.158294033319349,14,-12.83488415321908,15,-12.83488415321908,15,32.26515033506319,32.26515033506319,15,7.1053415183020565
VID_20241028_124047_10_010,-27.2429400905707,-18.543447166505263,14,3,-25.791925306973667,5,31.04786376953125,-25.791925306973667,5,-22.60119200509668,13,-18.543447166505263,14,-18.543447166505263,14,7.2484781404684036,7.2484781404684036,8,1.4510147835970315
VID_20241028_124047_10_010,-4.1599053031947495,-16.982145959163354,13,3,-18.223694410967425,7,27.91098894391741,-26.54106753919951,10,-16.982145959163354,13,-16.982145959163354,13,-16.982145959163354,13,1.2415484518040714,1.2415484518040714,15,12.822240655968605
VID_20241028_124047_10_010,-21.705685476468062,-25.517916206003957,13,3,-28.575772144160585,7,33.56648472377232,-19.83343200579581,11,-25.517916206003957,13,-25.517916206003957,13,-25.517916206003957,13,3.057855938156628,3.057855938156628,12,1.872253470672252
VID_20241028_124047_10_010,-23.076945081329185,-25.13126762383899,12,2,-18.486478674043266,10,34.63289794921875,-18.486478674043266,10,-18.486478674043266,10,-25.13126762383899,12,-25.13126762383899,12,6.644788949795725,6.644788949795725,20,2.054322542509805
