clip,timestamp_s,yaw_deg,n_players,mean_lon,weighted_lon,largest_player_lon,players_left_frac,mean_height_px,max_height_px,std_height_px,size_gradient,top5_cluster_std,ball_lon,is_keyframe,time_since_kf,pan_velocity,target_pan
VID_20241028_124047_10_010,1018.0,-28.0,12,-27.60849606352617,-22.780104249299622,11.359049445918146,0.8333333333333334,35.5297597249349,65.8134765625,16.278332488896265,-10.347448730468749,32.3044076173412,-27.051600705327303,0,24.73,-0.1097,-11.6104
VID_20241028_124047_10_010,1018.0,-28.0,9,-40.796734753084465,-42.25494373407481,-56.516049378304515,1.0,33.13341267903646,61.09344482421875,12.126427948967295,10.498846435546874,18.03181997644321,-24.211935108784424,0,24.73,-0.1097,-11.6104
VID_20241028_124047_10_010,1035.0,-14.0,13,-6.622240146672421,-6.7594352178727855,-37.92014617312593,0.4615384615384615,32.61988243689904,60.53253173828125,14.267424213519355,-4.098101806640624,17.245408301407934,17.082978199137703,0,6.25,-0.233,-16.3613
VID_20241028_124047_10_010,1035.0,-14.0,11,-28.15487049819961,-25.87712105093346,7.051141960822257,0.8181818181818182,35.78406316583807,62.50634765625,13.168818984361796,-0.2006519862583715,17.320591239918787,-45.24976364924183,0,6.25,-0.233,-16.3613
VID_20241028_124047_10_010,1035.0,-14.0,13,-2.970963274858851,-3.773790776628743,-36.38080403341989,0.4615384615384615,33.0543447641226,58.767578125,13.57839834360167,-4.715077209472657,17.293531797723148,16.9594997997887,0,6.25,-0.233,-16.3613
VID_20241028_124047_10_010,1124.0,-18.0,15,-4.7651185654374935,-4.9058540610624615,-11.491784811465983,0.4666666666666667,37.31041463216146,86.346435546875,14.849104336575571,8.624649047851562,23.42649278714592,21.5792058990871,0,1.14,-1.4497,4.2728
VID_20241028_124047_10_010,1124.0,-18.0,14,-0.9109029166012113,-0.5003237907681306,-9.43311242104449,0.3571428571428571,37.00513131277902,86.671875,15.833093196409402,8.500006781684029,23.046732625723095,21.709742820789913,0,1.14,-1.4497,4.2728
VID_20241028_124047_10_010,1124.0,-18.0,15,-8.433406335659615,-7.110048640562775,-10.143377383411211,0.6,35.52027384440104,86.22711181640625,15.604061830025852,6.466775621686665,23.133147785398265,22.08296154392393,0,1.14,-1.4497,4.2728
VID_20241028_124047_10_010,1146.0,-28.0,17,-13.850545607915215,-14.146410435906835,-32.09689153891159,0.5882352941176471,37.8298932243796,75.77587890625,15.791785953999945,2.9125026157924125,21.279401778993886,13.163420926864944,0,2.04,-1.4931,10.0559
VID_20241028_124047_10_010,1146.0,-28.0,16,-8.836482409125171,-10.56043072273376,-30.86189942376009,0.5,38.60708045959473,85.3070068359375,18.555797863955934,6.852735246930806,21.051473817550004,11.687636446986218,0,2.04,-1.4931,10.0559
